0010N,GO,W
001CW,SE,W
0025N,GO,W
002AM,UU,W
0030N,SB,W
0040N,SB,W
0042N,SB,W
0043N,SB,W
0044N,SB,W
0045E,HC,W
0046E,HC,W
0048E,HC,W
004X,UE,W
0051E,HC,W
0054E,HC,W
005NV,NZ,W
009L,SE,W
009LC,LF,W
009T,SE,W
00E40,WA,W
00E70,NF,W
00E80,NF,W
00LIH,PH,W
00MKK,PH,W
00N20,NT,W
00N30,NT,W
00N40,NT,W
00N44,NT,W
00UPP,PH,W
010PS,OP,W
010R,UE,W
010R,UW,W
0110N,GO,W
011R,UE,W
0120N,GO,W
0130N,SB,W
013SL,UH,W
0140N,SB,W
0140W,SB,W
0142N,SB,W
0144N,SB,W
014FV,GC,W
016SL,UH,W
017B,UH,W
017SL,UH,W
01ABM,OI,W
01AGD,ED,W
01AKT,LG,W
01AT,EN,W
01BBE,EB,W
01BBL,EB,W
01BBS,VE,W
01BKK,VT,W
01BOA,LI,W
01BVT,LF,W
01CAG,LI,W
01CCB,VO,W
01CCW,SE,W
01CEV,LI,W
01CF,LF,W
01COM,LI,W
01CTF,LI,W
01CUU,MM,W
01CX,LF,W
01DDE,EG,W
01DDN,VI,W
01DEC,LI,W
01DLN,EH,W
01DMN,ED,W
01DMS,ED,W
01E40,WA,W
01E70,NF,W
01E80,NF,W
01ESL,YM,W
01FD,UR,W
01FLO,EN,W
01FN,UR,W
01GHE,LI,W
01GRD,LE,W
01HNT,ED,W
01HUC,RJ,W
01IES,BI,W
01IFA,OP,W
01ILA,OP,W
01ISN,OI,W
01IST,LT,W
01ITE,RJ,W
01IXR,EG,W
01JAT,RJ,W
01JJB,VA,W
01JRM,OI,W
01KOZ,LG,W
01KPC,LG,W
01KRV,LY,W
01KSD,ES,W
01KT,NZ,W
01KTH,LG,W
01LCA,LC,W
01LOB,EH,W
01LPA,SP,W
01LUC,LF,W
01LVA,OI,W
01LWD,EH,W
01MI,UR,W
01MIA,RP,W
01MIN,EG,W
01ML,YM,W
01MN,UR,W
01MPA,SF,W
01MSR,VO,W
01N20,NT,W
01N30,NT,W
01N40,NT,W
01NEW,EG,W
01NM,EG,W
01NPH,RK,W
01OEV,LO,W
01PEA,YM,W
01PIS,LI,W
01PRA,LE,W
01PT,LF,W
01QQZ,VA,W
01R26,EG,W
01RDE,LF,W
01RES,LE,W
01S40,WA,W
01S50,AY,W
01S60,AY,W
01S70,NF,W
01S80,NF,W
01SGE,RJ,W
01SKG,EN,W
01TBS,OI,W
01THR,EG,W
01TMR,OO,W
